音声モデル名,モデルID,スタイル名,ボイスID,スピーカーID
ずんだもん,zundamon,ノーマル,normal,3
ずんだもん,zundamon,あまあま,amaama,1
ずんだもん,zundamon,セクシー,sexy,5
ずんだもん,zundamon,つんつん,tsuntsun,7
ずんだもん,zundamon,ささやき,sasayaki,22
ずんだもん,zundamon,ヒソヒソ,hisohiso,38
ずんだもん,zundamon,ヘロヘロ,herohero,75
ずんだもん,zundamon,なみだめ,namidame,76
あんこもん,ankomon,ノーマル,normal,113
あんこもん,ankomon,つよつよ,tsuyotsuyo,114
あんこもん,ankomon,よわよわ,yowayowa,115
あんこもん,ankomon,けだるげ,kedaruge,116
あんこもん,ankomon,ささやき,sasayaki,117
春日部つむぎ,kasukabetsumugi,ノーマル,normal,8
冥鳴ひまり,meimeihimari,ノーマル,normal,14
四国めたん,shikokumetan,ノーマル,normal,2
四国めたん,shikokumetan,あまあま,amaama,0
四国めたん,shikokumetan,セクシー,sexy,4
四国めたん,shikokumetan,ツンツン,tsuntsun,6
四国めたん,shikokumetan,ささやき,sasayaki,36
四国めたん,shikokumetan,ヒソヒソ,hisohiso,37
東北イタコ,tohokuitako,ノーマル,normal,109
東北きりたん,tohokukiritan,ノーマル,normal,108
東北ずん子,tohokuzunko,ノーマル,normal,107
